,class_name,class_id,pressure,speed
60,GreenVelvet,5,14.0,0.08
61,NavyDenim,2,15.0,0.05
62,BeigeCotton,4,10.0,0.08
63,BlackCotton,6,15.0,0.02
64,BeigeCotton,4,10.0,0.07
65,BlackPolymer,7,11.0,0.05
66,BeigeCotton,4,13.0,0.04
67,NavyDenim,2,17.0,0.06
68,BrownPolymer,3,5.0,0.05
69,BlackCotton,6,8.0,0.1
70,NavyDenim,2,16.0,0.06
71,BlackCotton,6,5.0,0.09
72,BeigeCotton,4,17.0,0.01
73,BeigeCotton,4,17.0,0.03
74,NavyDenim,2,5.0,0.04
75,GrayLinen,1,10.0,0.1
76,GrayLinen,1,5.0,0.06
77,GreenVelvet,5,11.0,0.06
78,NavyDenim,2,10.0,0.02
79,NavyDenim,2,16.0,0.1
80,BlackPolymer,7,5.0,0.06
81,GreenVelvet,5,16.0,0.07
82,BlackPolymer,7,10.0,0.03
83,NavyDenim,2,11.0,0.01
84,GreenVelvet,5,10.0,0.07
85,BlackPolymer,7,16.0,0.03
86,BrownPolymer,3,8.0,0.08
87,NavyDenim,2,16.0,0.04
88,GreenVelvet,5,12.0,0.07
89,GreenVelvet,5,9.0,0.07
90,BrownPolymer,3,7.0,0.1
91,BeigeCotton,4,14.0,0.09
92,NavyDenim,2,7.0,0.05
93,GreenVelvet,5,11.0,0.04
94,BlackCotton,6,15.0,0.09
95,GrayLinen,1,13.0,0.03
96,BeigeCotton,4,10.0,0.09
97,BlackPolymer,7,9.0,0.01
98,GreenVelvet,5,12.0,0.05
99,GrayLinen,1,6.0,0.05
100,BlackPolymer,7,13.0,0.06
101,BlackCotton,6,9.0,0.03
102,BeigeCotton,4,5.0,0.07
103,NavyDenim,2,10.0,0.03
104,NavyDenim,2,13.0,0.02
105,BeigeCotton,4,6.0,0.02
106,BeigeCotton,4,5.0,0.04
107,BeigeCotton,4,16.0,0.04
108,BlackPolymer,7,18.0,0.01
109,BlackCotton,6,6.0,0.06
110,BeigeCotton,4,16.0,0.05
111,GreenVelvet,5,13.0,0.08
112,BeigeCotton,4,11.0,0.09
113,GreenVelvet,5,6.0,0.02
114,BlackPolymer,7,10.0,0.01
115,GrayLinen,1,11.0,0.07
116,BlackCotton,6,7.0,0.02
117,GreenVelvet,5,11.0,0.09
118,BlackCotton,6,11.0,0.06
119,NavyDenim,2,12.0,0.06
120,GrayLinen,1,9.0,0.09
121,BeigeCotton,4,12.0,0.09
122,GrayLinen,1,8.0,0.03
123,NavyDenim,2,6.0,0.03
124,GreenVelvet,5,6.0,0.01
125,GreenVelvet,5,11.0,0.1
126,NavyDenim,2,17.0,0.01
127,BlackPolymer,7,14.0,0.1
128,GrayLinen,1,7.0,0.04
129,GrayLinen,1,5.0,0.05
130,GrayLinen,1,10.0,0.05
131,BlackPolymer,7,5.0,0.01
132,BeigeCotton,4,6.0,0.04
133,BrownPolymer,3,5.0,0.01
134,BlackPolymer,7,10.0,0.02
135,BeigeCotton,4,8.0,0.01
136,NavyDenim,2,10.0,0.08
137,BlackCotton,6,7.0,0.05
138,BlackCotton,6,8.0,0.01
139,BlackPolymer,7,9.0,0.09
140,BlackCotton,6,8.0,0.08
141,GreenVelvet,5,9.0,0.01
142,GreenVelvet,5,14.0,0.04
143,BlackPolymer,7,6.0,0.04
144,BlackCotton,6,10.0,0.07
145,BeigeCotton,4,8.0,0.09
146,GreenVelvet,5,5.0,0.08
147,NavyDenim,2,11.0,0.1
148,GreenVelvet,5,12.0,0.06
149,GreenVelvet,5,6.0,0.06
150,BlackPolymer,7,11.0,0.03
151,GreenVelvet,5,13.0,0.03
152,GrayLinen,1,12.0,0.03
153,GreenVelvet,5,14.0,0.01
154,BeigeCotton,4,18.0,0.02
155,GrayLinen,1,15.0,0.04
156,BlackPolymer,7,13.0,0.01
157,GreenVelvet,5,13.0,0.09
158,BeigeCotton,4,8.0,0.04
159,BlackCotton,6,9.0,0.06
160,NavyDenim,2,8.0,0.09
161,BrownPolymer,3,7.0,0.08
162,BrownPolymer,3,7.0,0.07
163,GrayLinen,1,10.0,0.03
164,BrownPolymer,3,5.0,0.1
165,GrayLinen,1,14.0,0.05
166,GrayLinen,1,9.0,0.1
167,BeigeCotton,4,12.0,0.05
168,GreenVelvet,5,8.0,0.06
169,BlackPolymer,7,18.0,0.02
170,BlackCotton,6,6.0,0.04
171,GrayLinen,1,8.0,0.06
172,GreenVelvet,5,6.0,0.05
173,NavyDenim,2,5.0,0.03
174,GreenVelvet,5,7.0,0.03
175,GrayLinen,1,14.0,0.07
176,GreenVelvet,5,17.0,0.05
177,GreenVelvet,5,13.0,0.02
178,BrownPolymer,3,6.0,0.05
179,BlackCotton,6,6.0,0.09
180,BlackPolymer,7,17.0,0.01
181,GreenVelvet,5,8.0,0.02
182,GreenVelvet,5,7.0,0.08
183,NavyDenim,2,7.0,0.02
184,BlackPolymer,7,6.0,0.08
185,NavyDenim,2,16.0,0.02
186,GreenVelvet,5,5.0,0.02
187,GreenVelvet,5,7.0,0.07
188,BrownPolymer,3,7.0,0.06
189,NavyDenim,2,6.0,0.06
190,BlackCotton,6,13.0,0.01
191,BeigeCotton,4,9.0,0.04
192,BeigeCotton,4,15.0,0.1
193,GreenVelvet,5,16.0,0.04
194,BlackCotton,6,15.0,0.07
195,GrayLinen,1,14.0,0.08
196,GrayLinen,1,13.0,0.02
197,BlackPolymer,7,12.0,0.1
198,BeigeCotton,4,6.0,0.09
199,BlackCotton,6,9.0,0.01
200,BeigeCotton,4,17.0,0.06
201,GrayLinen,1,5.0,0.03
202,GrayLinen,1,5.0,0.07
203,GreenVelvet,5,5.0,0.05
204,BeigeCotton,4,7.0,0.05
205,BlackPolymer,7,16.0,0.05
206,GreenVelvet,5,15.0,0.07
207,GreenVelvet,5,9.0,0.02
208,BeigeCotton,4,9.0,0.1
209,BlackCotton,6,11.0,0.05
210,BlackPolymer,7,18.0,0.08
211,BlackPolymer,7,8.0,0.04
212,GreenVelvet,5,14.0,0.02
213,BlackCotton,6,9.0,0.04
214,BlackPolymer,7,13.0,0.04
215,GreenVelvet,5,15.0,0.08
216,BrownPolymer,3,5.0,0.02
217,GreenVelvet,5,6.0,0.08
218,BlackPolymer,7,5.0,0.03
219,BlackCotton,6,10.0,0.05
220,BlackPolymer,7,9.0,0.05
221,NavyDenim,2,10.0,0.06
222,NavyDenim,2,8.0,0.01
223,GreenVelvet,5,9.0,0.08
224,BlackPolymer,7,12.0,0.01
225,BlackCotton,6,11.0,0.07
226,GreenVelvet,5,16.0,0.05
227,GrayLinen,1,15.0,0.03
228,NavyDenim,2,15.0,0.06
229,NavyDenim,2,16.0,0.07
230,GreenVelvet,5,15.0,0.1
231,GreenVelvet,5,12.0,0.04
232,BlackPolymer,7,12.0,0.03
233,NavyDenim,2,12.0,0.08
234,GrayLinen,1,7.0,0.07
235,NavyDenim,2,6.0,0.01
236,NavyDenim,2,16.0,0.03
237,BlackPolymer,7,11.0,0.06
238,BeigeCotton,4,14.0,0.03
239,BlackPolymer,7,18.0,0.1
240,BrownPolymer,3,6.0,0.03
241,GrayLinen,1,11.0,0.05
242,BlackPolymer,7,13.0,0.1
243,BeigeCotton,4,8.0,0.03
244,BeigeCotton,4,13.0,0.1
245,BeigeCotton,4,14.0,0.05
246,BlackPolymer,7,10.0,0.1
247,BeigeCotton,4,13.0,0.08
248,GreenVelvet,5,14.0,0.1
249,BlackPolymer,7,5.0,0.08
250,BeigeCotton,4,11.0,0.04
251,BlackPolymer,7,9.0,0.06
252,BeigeCotton,4,9.0,0.07
253,BlackPolymer,7,8.0,0.02
254,BeigeCotton,4,18.0,0.08
255,GrayLinen,1,5.0,0.04
256,NavyDenim,2,13.0,0.07
257,GrayLinen,1,15.0,0.07
258,GreenVelvet,5,17.0,0.09
259,BeigeCotton,4,16.0,0.07
260,BlackPolymer,7,11.0,0.04
261,BlackPolymer,7,11.0,0.1
262,BeigeCotton,4,7.0,0.07
263,GrayLinen,1,10.0,0.02
264,BlackCotton,6,14.0,0.07
265,BeigeCotton,4,17.0,0.04
266,NavyDenim,2,14.0,0.1
267,GrayLinen,1,8.0,0.01
268,GrayLinen,1,12.0,0.04
269,GrayLinen,1,9.0,0.08
270,BeigeCotton,4,18.0,0.09
271,BlackCotton,6,12.0,0.1
272,BeigeCotton,4,7.0,0.08
273,GrayLinen,1,11.0,0.09
274,GreenVelvet,5,11.0,0.03
275,NavyDenim,2,12.0,0.07
276,BlackCotton,6,8.0,0.02
277,BeigeCotton,4,17.0,0.08
278,BlackCotton,6,9.0,0.07
279,NavyDenim,2,9.0,0.05
280,BeigeCotton,4,8.0,0.1
281,BlackPolymer,7,18.0,0.05
282,GreenVelvet,5,9.0,0.05
283,BlackPolymer,7,13.0,0.09
284,BeigeCotton,4,5.0,0.09
285,BlackCotton,6,5.0,0.02
286,BlackCotton,6,7.0,0.03
287,GreenVelvet,5,7.0,0.04
288,BeigeCotton,4,7.0,0.1
289,GreenVelvet,5,16.0,0.06
290,BlackCotton,6,15.0,0.1
291,BlackCotton,6,14.0,0.03
292,GrayLinen,1,12.0,0.01
293,GreenVelvet,5,15.0,0.01
294,NavyDenim,2,9.0,0.04
295,BlackPolymer,7,10.0,0.07
296,BlackPolymer,7,15.0,0.05
297,NavyDenim,2,15.0,0.1
298,BeigeCotton,4,17.0,0.05
299,NavyDenim,2,8.0,0.1
300,GrayLinen,1,10.0,0.08
301,BeigeCotton,4,15.0,0.06
302,BrownPolymer,3,6.0,0.02
303,GreenVelvet,5,8.0,0.09
304,BlackCotton,6,6.0,0.05
305,BeigeCotton,4,11.0,0.01
306,BlackPolymer,7,15.0,0.08
307,BlackCotton,6,13.0,0.1
308,NavyDenim,2,13.0,0.1
309,BeigeCotton,4,15.0,0.02
310,BeigeCotton,4,13.0,0.07
311,NavyDenim,2,7.0,0.09
312,NavyDenim,2,16.0,0.05
313,BlackPolymer,7,17.0,0.04
314,NavyDenim,2,6.0,0.09
315,BlackPolymer,7,16.0,0.02
316,BlackPolymer,7,14.0,0.07
317,NavyDenim,2,10.0,0.05
318,BlackCotton,6,10.0,0.01
319,NavyDenim,2,17.0,0.07
320,GrayLinen,1,14.0,0.1
321,BeigeCotton,4,10.0,0.01
322,BlackPolymer,7,7.0,0.09
323,BlackCotton,6,10.0,0.06
324,GreenVelvet,5,9.0,0.04
325,GreenVelvet,5,8.0,0.01
326,NavyDenim,2,13.0,0.04
327,BlackCotton,6,13.0,0.05
328,BlackCotton,6,12.0,0.07
329,GrayLinen,1,11.0,0.04
330,NavyDenim,2,8.0,0.02
331,GreenVelvet,5,11.0,0.01
332,GrayLinen,1,12.0,0.05
333,GreenVelvet,5,10.0,0.09
334,BrownPolymer,3,8.0,0.03
335,GrayLinen,1,12.0,0.02
336,GreenVelvet,5,11.0,0.07
337,GreenVelvet,5,16.0,0.09
338,GreenVelvet,5,14.0,0.09
339,BlackCotton,6,6.0,0.03
340,NavyDenim,2,15.0,0.08
341,BlackCotton,6,11.0,0.03
342,BlackPolymer,7,13.0,0.03
343,BlackCotton,6,6.0,0.1
344,BlackCotton,6,15.0,0.06
345,BlackCotton,6,13.0,0.03
346,BeigeCotton,4,15.0,0.09
347,GreenVelvet,5,15.0,0.09
348,NavyDenim,2,9.0,0.02
349,GreenVelvet,5,8.0,0.1
350,NavyDenim,2,17.0,0.03
351,BlackPolymer,7,18.0,0.07
352,BeigeCotton,4,14.0,0.1
353,BlackPolymer,7,7.0,0.02
354,GrayLinen,1,15.0,0.05
355,BlackPolymer,7,17.0,0.06
356,BlackCotton,6,12.0,0.01
357,NavyDenim,2,10.0,0.09
358,NavyDenim,2,15.0,0.02
359,GreenVelvet,5,15.0,0.03
360,BeigeCotton,4,15.0,0.01
361,GreenVelvet,5,8.0,0.05
362,NavyDenim,2,9.0,0.08
363,GreenVelvet,5,13.0,0.1
364,GrayLinen,1,13.0,0.07
365,BlackCotton,6,7.0,0.07
366,GrayLinen,1,7.0,0.08
367,BrownPolymer,3,8.0,0.07
368,BlackPolymer,7,16.0,0.01
369,BlackPolymer,7,15.0,0.1
370,BeigeCotton,4,9.0,0.02
371,BeigeCotton,4,5.0,0.03
372,GreenVelvet,5,11.0,0.05
373,NavyDenim,2,11.0,0.04
374,GrayLinen,1,5.0,0.08
375,BlackPolymer,7,7.0,0.05
376,BrownPolymer,3,6.0,0.1
377,NavyDenim,2,17.0,0.08
378,BlackPolymer,7,18.0,0.06
379,BlackCotton,6,5.0,0.08
380,GreenVelvet,5,17.0,0.07
381,BrownPolymer,3,8.0,0.02
382,BlackPolymer,7,9.0,0.02
383,BlackCotton,6,9.0,0.1
384,GrayLinen,1,5.0,0.02
385,NavyDenim,2,9.0,0.1
386,NavyDenim,2,12.0,0.03
387,GreenVelvet,5,7.0,0.09
388,BrownPolymer,3,8.0,0.06
389,BlackCotton,6,12.0,0.08
390,GrayLinen,1,11.0,0.06
391,BlackCotton,6,12.0,0.09
392,GreenVelvet,5,16.0,0.02
393,GrayLinen,1,15.0,0.01
394,NavyDenim,2,8.0,0.05
395,GreenVelvet,5,6.0,0.09
396,BrownPolymer,3,5.0,0.08
397,BeigeCotton,4,11.0,0.07
398,BlackCotton,6,5.0,0.06
399,GrayLinen,1,5.0,0.1
400,NavyDenim,2,17.0,0.02
401,BeigeCotton,4,11.0,0.03
402,BeigeCotton,4,12.0,0.06
403,BlackCotton,6,7.0,0.08
404,BlackCotton,6,7.0,0.01
405,GreenVelvet,5,16.0,0.01
406,BeigeCotton,4,17.0,0.09
407,GreenVelvet,5,14.0,0.05
408,BeigeCotton,4,5.0,0.01
409,BlackPolymer,7,10.0,0.06
410,BlackPolymer,7,16.0,0.04
411,GrayLinen,1,6.0,0.09
412,BlackPolymer,7,12.0,0.05
413,NavyDenim,2,11.0,0.03
414,BlackPolymer,7,12.0,0.06
415,BlackPolymer,7,12.0,0.09
416,BlackCotton,6,14.0,0.09
417,BrownPolymer,3,8.0,0.05
418,GreenVelvet,5,9.0,0.09
419,GrayLinen,1,13.0,0.1
420,GreenVelvet,5,13.0,0.07
421,BlackCotton,6,8.0,0.05
422,BeigeCotton,4,7.0,0.04
423,BlackPolymer,7,7.0,0.03
424,GreenVelvet,5,16.0,0.03
425,GrayLinen,1,8.0,0.08
426,BlackPolymer,7,8.0,0.03
427,BlackCotton,6,12.0,0.05
428,NavyDenim,2,7.0,0.01
429,GreenVelvet,5,17.0,0.04
430,BeigeCotton,4,15.0,0.04
431,BeigeCotton,4,10.0,0.04
432,BrownPolymer,3,7.0,0.03
433,NavyDenim,2,16.0,0.09
434,BeigeCotton,4,11.0,0.02
435,BeigeCotton,4,5.0,0.02
436,GrayLinen,1,12.0,0.08
437,BlackPolymer,7,14.0,0.09
438,BlackPolymer,7,17.0,0.08
439,BlackCotton,6,6.0,0.01
440,GrayLinen,1,6.0,0.01
441,GreenVelvet,5,14.0,0.03
442,BlackPolymer,7,6.0,0.09
443,NavyDenim,2,7.0,0.07
444,BrownPolymer,3,6.0,0.07
445,BeigeCotton,4,15.0,0.07
446,GreenVelvet,5,17.0,0.02
447,NavyDenim,2,15.0,0.01
448,GrayLinen,1,6.0,0.07
449,GreenVelvet,5,8.0,0.07
450,GrayLinen,1,10.0,0.04
451,GrayLinen,1,6.0,0.03
452,GrayLinen,1,15.0,0.02
453,GreenVelvet,5,17.0,0.06
454,BeigeCotton,4,9.0,0.09
455,BrownPolymer,3,6.0,0.06
456,BrownPolymer,3,6.0,0.04
457,BlackPolymer,7,17.0,0.02
458,BeigeCotton,4,16.0,0.02
459,NavyDenim,2,8.0,0.07
460,BeigeCotton,4,13.0,0.05
461,GreenVelvet,5,17.0,0.01
462,BrownPolymer,3,5.0,0.03
463,GrayLinen,1,13.0,0.08
464,BlackPolymer,7,16.0,0.07
465,BlackCotton,6,12.0,0.02
466,NavyDenim,2,5.0,0.06
467,BlackPolymer,7,15.0,0.09
468,GrayLinen,1,11.0,0.1
469,NavyDenim,2,5.0,0.08
470,GrayLinen,1,10.0,0.09
471,BlackPolymer,7,14.0,0.08
472,BlackCotton,6,12.0,0.03
473,BlackPolymer,7,8.0,0.06
474,BrownPolymer,3,5.0,0.07
475,NavyDenim,2,6.0,0.07
476,BeigeCotton,4,13.0,0.09
477,BlackPolymer,7,6.0,0.1
478,GreenVelvet,5,12.0,0.1
479,BeigeCotton,4,10.0,0.06
480,GrayLinen,1,8.0,0.05
481,GrayLinen,1,12.0,0.1
482,BlackPolymer,7,9.0,0.1
483,GreenVelvet,5,15.0,0.02
484,BlackCotton,6,14.0,0.02
485,BlackCotton,6,9.0,0.09
486,BlackPolymer,7,16.0,0.06
487,GreenVelvet,5,8.0,0.08
488,BeigeCotton,4,11.0,0.06
489,BlackPolymer,7,9.0,0.07
490,NavyDenim,2,5.0,0.05
491,BlackPolymer,7,8.0,0.1
492,NavyDenim,2,8.0,0.06
493,GreenVelvet,5,10.0,0.01
494,BrownPolymer,3,5.0,0.06
495,GreenVelvet,5,15.0,0.04
496,NavyDenim,2,13.0,0.09
497,BeigeCotton,4,5.0,0.06
498,GrayLinen,1,6.0,0.04
499,BrownPolymer,3,8.0,0.01
500,GreenVelvet,5,5.0,0.09
501,BeigeCotton,4,16.0,0.09
502,NavyDenim,2,6.0,0.1
503,BlackPolymer,7,12.0,0.08
504,GrayLinen,1,10.0,0.07
505,BeigeCotton,4,12.0,0.01
506,BeigeCotton,4,11.0,0.08
507,BlackCotton,6,15.0,0.04
508,BlackPolymer,7,7.0,0.06
509,BeigeCotton,4,13.0,0.03
510,NavyDenim,2,7.0,0.1
511,BlackPolymer,7,6.0,0.03
512,BrownPolymer,3,8.0,0.1
513,GrayLinen,1,6.0,0.02
514,BeigeCotton,4,5.0,0.08
515,BlackPolymer,7,8.0,0.01
516,GrayLinen,1,15.0,0.06
517,GreenVelvet,5,12.0,0.02
518,GreenVelvet,5,9.0,0.03
519,GreenVelvet,5,10.0,0.04
520,GreenVelvet,5,10.0,0.03
521,NavyDenim,2,13.0,0.05
522,BlackPolymer,7,14.0,0.01
523,GrayLinen,1,13.0,0.09
524,NavyDenim,2,9.0,0.06
525,BeigeCotton,4,14.0,0.07
526,BeigeCotton,4,14.0,0.04
527,GreenVelvet,5,10.0,0.1
528,NavyDenim,2,13.0,0.06
529,GreenVelvet,5,5.0,0.1
530,BeigeCotton,4,6.0,0.08
531,BlackCotton,6,9.0,0.02
532,NavyDenim,2,10.0,0.01
533,GrayLinen,1,14.0,0.09
534,NavyDenim,2,11.0,0.07
535,BlackCotton,6,11.0,0.02
536,BlackPolymer,7,13.0,0.05
537,BeigeCotton,4,12.0,0.07
538,GrayLinen,1,7.0,0.06
539,GreenVelvet,5,15.0,0.05
540,GrayLinen,1,12.0,0.09
541,BlackCotton,6,14.0,0.05
542,BlackPolymer,7,11.0,0.01
543,BeigeCotton,4,14.0,0.01
544,GrayLinen,1,11.0,0.03
545,BeigeCotton,4,13.0,0.01
546,BlackPolymer,7,5.0,0.05
547,GrayLinen,1,8.0,0.02
548,BlackCotton,6,15.0,0.01
549,BeigeCotton,4,16.0,0.1
550,BlackPolymer,7,5.0,0.04
551,BeigeCotton,4,17.0,0.07
552,BlackCotton,6,11.0,0.04
553,NavyDenim,2,15.0,0.09
554,BlackCotton,6,15.0,0.05
555,GreenVelvet,5,13.0,0.01
556,BeigeCotton,4,12.0,0.04
557,NavyDenim,2,15.0,0.04
558,NavyDenim,2,9.0,0.01
559,BlackPolymer,7,18.0,0.03
560,GrayLinen,1,14.0,0.04
561,GrayLinen,1,15.0,0.1
562,BeigeCotton,4,8.0,0.02
563,GreenVelvet,5,9.0,0.1
564,BeigeCotton,4,12.0,0.1
565,GrayLinen,1,7.0,0.1
566,NavyDenim,2,15.0,0.07
567,NavyDenim,2,9.0,0.09
568,NavyDenim,2,12.0,0.01
569,BlackCotton,6,6.0,0.08
570,BlackCotton,6,11.0,0.08
571,GreenVelvet,5,8.0,0.03
572,GrayLinen,1,10.0,0.01
573,BlackPolymer,7,7.0,0.1
574,GrayLinen,1,9.0,0.01
575,BeigeCotton,4,11.0,0.1
576,GreenVelvet,5,10.0,0.02
577,BrownPolymer,3,6.0,0.08
578,BlackPolymer,7,8.0,0.07
579,GreenVelvet,5,17.0,0.03
580,BlackPolymer,7,15.0,0.06
581,GrayLinen,1,7.0,0.05
582,GrayLinen,1,9.0,0.06
583,BlackCotton,6,13.0,0.06
584,GreenVelvet,5,7.0,0.1
585,NavyDenim,2,10.0,0.1
586,BlackCotton,6,10.0,0.03
587,NavyDenim,2,15.0,0.03
588,NavyDenim,2,8.0,0.08
589,BeigeCotton,4,16.0,0.03
590,NavyDenim,2,11.0,0.06
591,GrayLinen,1,6.0,0.06
592,BeigeCotton,4,8.0,0.08
593,GrayLinen,1,5.0,0.01
594,BeigeCotton,4,9.0,0.03
595,BlackCotton,6,13.0,0.02
596,GreenVelvet,5,7.0,0.02
597,NavyDenim,2,16.0,0.08
598,BeigeCotton,4,14.0,0.06
599,BeigeCotton,4,11.0,0.05
600,GrayLinen,1,5.0,0.09
601,BeigeCotton,4,8.0,0.06
602,NavyDenim,2,7.0,0.06
603,BeigeCotton,4,18.0,0.04
604,BlackPolymer,7,10.0,0.04
605,BlackCotton,6,7.0,0.09
606,BlackCotton,6,14.0,0.04
607,BrownPolymer,3,8.0,0.04
608,NavyDenim,2,13.0,0.01
609,BeigeCotton,4,18.0,0.06
610,BlackPolymer,7,15.0,0.07
611,NavyDenim,2,16.0,0.01
612,BeigeCotton,4,7.0,0.01
613,NavyDenim,2,12.0,0.1
614,BeigeCotton,4,7.0,0.09
615,NavyDenim,2,8.0,0.04
616,GreenVelvet,5,5.0,0.03
617,BlackPolymer,7,5.0,0.09
618,BlackPolymer,7,11.0,0.07
619,GreenVelvet,5,11.0,0.02
620,BlackCotton,6,8.0,0.09
621,BlackPolymer,7,15.0,0.01
622,BeigeCotton,4,14.0,0.08
623,GreenVelvet,5,12.0,0.03
624,GrayLinen,1,14.0,0.03
625,NavyDenim,2,14.0,0.07
626,NavyDenim,2,9.0,0.07
627,GreenVelvet,5,16.0,0.1
628,BeigeCotton,4,7.0,0.06
629,BeigeCotton,4,8.0,0.07
630,BlackCotton,6,7.0,0.1
631,BeigeCotton,4,10.0,0.03
632,GreenVelvet,5,10.0,0.06
633,BlackPolymer,7,12.0,0.07
634,NavyDenim,2,14.0,0.04
635,BlackPolymer,7,15.0,0.02
636,GrayLinen,1,9.0,0.04
637,BeigeCotton,4,6.0,0.01
638,BlackCotton,6,12.0,0.04
639,BeigeCotton,4,6.0,0.03
640,GreenVelvet,5,6.0,0.1
641,NavyDenim,2,13.0,0.03
642,BeigeCotton,4,18.0,0.05
643,NavyDenim,2,5.0,0.07
644,GrayLinen,1,7.0,0.01
645,BlackPolymer,7,10.0,0.09
646,BlackPolymer,7,6.0,0.01
647,GrayLinen,1,6.0,0.1
648,BlackPolymer,7,12.0,0.04
649,BrownPolymer,3,6.0,0.01
650,NavyDenim,2,14.0,0.05
651,BeigeCotton,4,15.0,0.03
652,BlackCotton,6,8.0,0.04
653,BlackPolymer,7,5.0,0.07
654,BrownPolymer,3,5.0,0.09
655,BlackCotton,6,5.0,0.07
656,GrayLinen,1,13.0,0.06
657,BlackCotton,6,9.0,0.08
658,BeigeCotton,4,5.0,0.1
659,BeigeCotton,4,18.0,0.07
660,BlackCotton,6,14.0,0.08
661,BlackCotton,6,10.0,0.08
662,BlackCotton,6,15.0,0.08
663,NavyDenim,2,12.0,0.02
664,BeigeCotton,4,5.0,0.05
665,NavyDenim,2,10.0,0.04
666,BlackPolymer,7,11.0,0.09
667,GrayLinen,1,9.0,0.03
668,NavyDenim,2,12.0,0.04
669,BlackCotton,6,15.0,0.03
670,GreenVelvet,5,10.0,0.08
671,BlackCotton,6,14.0,0.01
672,GrayLinen,1,10.0,0.06
673,BlackPolymer,7,7.0,0.07
674,GrayLinen,1,7.0,0.02
675,BlackCotton,6,11.0,0.01
676,NavyDenim,2,9.0,0.03
677,NavyDenim,2,6.0,0.08
678,NavyDenim,2,6.0,0.04
679,BlackCotton,6,13.0,0.09
680,GreenVelvet,5,10.0,0.05
681,BlackPolymer,7,11.0,0.08
682,BeigeCotton,4,17.0,0.1
683,BlackCotton,6,7.0,0.04
684,GreenVelvet,5,15.0,0.06
685,GreenVelvet,5,5.0,0.04
686,BrownPolymer,3,7.0,0.02
687,GrayLinen,1,15.0,0.09
688,BlackPolymer,7,14.0,0.02
689,BlackPolymer,7,14.0,0.04
690,BlackPolymer,7,10.0,0.05
691,GrayLinen,1,14.0,0.01
692,BeigeCotton,4,10.0,0.02
693,GreenVelvet,5,14.0,0.07
694,GreenVelvet,5,6.0,0.04
695,GrayLinen,1,8.0,0.09
696,GrayLinen,1,9.0,0.02
697,BlackCotton,6,5.0,0.05
698,GreenVelvet,5,7.0,0.01
699,GrayLinen,1,11.0,0.08
700,BeigeCotton,4,6.0,0.07
701,BlackCotton,6,10.0,0.04
702,BrownPolymer,3,6.0,0.09
703,BrownPolymer,3,7.0,0.01
704,GreenVelvet,5,9.0,0.06
705,BlackCotton,6,9.0,0.05
706,NavyDenim,2,8.0,0.03
707,GrayLinen,1,11.0,0.01
708,BrownPolymer,3,7.0,0.04
709,BlackCotton,6,7.0,0.06
710,BlackPolymer,7,10.0,0.08
711,BeigeCotton,4,8.0,0.05
712,BeigeCotton,4,7.0,0.02
713,BlackCotton,6,10.0,0.1
